,comment,download,follow,name,num_score,score,tags,volume
3329,23.0,6118.0,411.0,文字图片生成器（文字转图片）,15.0,4.5,"['图像处理', '文本转换']",0.023701171875
3330,25.0,6042.0,48.0,XPERIA™ The Angry Birds Movie,12.0,4.3,"['xperia主题', '索尼']",9.85
3331,48.0,6043.0,270.0,终极应用搬家,10.0,3.6,"['系统增强', '内存助手']",1.51
3332,23.0,6046.0,60.0,360影视,23.0,3.3,"['电影', '电视', '视频', '电视剧', '看片']",8.96
3333,22.0,6050.0,179.0,斗词,16.0,3.9,"['背单词', '英语', '四六级', '记单词']",19.08
3334,17.0,6051.0,43.0,万年历日历,19.0,3.5,"['日历', '天气']",11.45
3335,8.0,6060.0,171.0,设计本,6.0,3.9,"['装修', '家居']",18.96
3336,62.0,6065.0,330.0,正在运行的服务,21.0,4.3,"['正在运行', '内存', '查看内存', '快捷方式']",0.260107421875
3337,44.0,6072.0,434.0,OpenSetting - 设置快捷方式,12.0,4.3,"['盒子设置', '电视盒子', '酷友作品']",0.00607421875
3338,252.0,6082.0,819.0,滚去xx（原滚去睡觉）,60.0,4.4,"['睡眠', '定时']",0.07857421875
3339,84.0,6038.0,245.0,ColorOS3.0去除虚拟键黑色覆盖,9.0,4.2,"['xposed', 'ColorOS', '模块', '虚拟键', '导航栏']",0.01060546875
3340,15.0,5987.0,77.0,游戏加速插件,7.0,3.9,"['手机加速', '游戏加速']",2.91
3341,30.0,5992.0,60.0,企鹅辅导,32.0,3.3,"['辅导', '课程', '课堂', '上课', '高中生']",48.47
3342,103.0,5993.0,1430.0,上线了,55.0,4.7,"['建站', '网站']",15.89
3343,22.0,6001.0,269.0,滑稽表情包,20.0,4.3,[],8.97
3344,31.0,6011.0,354.0,CC 速成班,15.0,4.5,[],7.28
3345,91.0,6013.0,177.0,Mate20ProCheck,22.0,3.5,[],0.041201171875
3346,35.0,6014.0,391.0,Zapya WebShare - File Transfer,14.0,4.1,['常用工具'],4.6
